,0
cumRwrd,69.59
discCumRwrd,-3.62
nSteps,205
MeanStepTime,0.24
StdStepTime,0.69
reachGoal,1
maxNsteps,0
meanSmoothVelocity,0.14780487804878048
stdSmoothVelocity,0.128243522065695
meanSmoothAngle,0.24537195420002514
stdSmoothAngle,0.13379580616875222
minDepth,1
maxDepth,2
meanDepth,1.0585365853658537
collision,0
out_boundaries,0
colision_pedestrians,0
algorithm,VANILLA_VO_ALBERO
nsim,100
rwrd,-100
discount,0.95
std,0.5
stdRollout,2.0
c,10.0
rollout,epsilon_uniform_uniform
a,11
v,5
num,1
eps_rollout,0.2
max_depth,200
env,EASY
n_obs,40
fixed_obs,True
